"Country, Other","Total cases","New cases","Total deaths","New deaths","Total recovered","New recovered","Active cases","Serious, Critical","Tot Cases/1M pop","Deaths/1M pop","Total tests","Test/1M pop","Population","Continent"
"Palestine","430,801","+358","4,539","+4","423,042","+262","3,220","49","81,753","861","2,736,577","519,316","5,269,575","Asia"
"Slovenia","423,163","+2,258","5,240","+16","382,804","+4,267","35,119","275","203,508","2,520","1,943,313","934,580","2,079,344","Europe"
"Kuwait","413,383","+21","2,465","","410,646","+19","272","","94,808","565","5,350,472","1,227,111","4,360,218","Asia"
"Dominican Republic","407,474","+223","4,210","+6","400,650","+754","2,614","179","37,035","383","2,464,049","223,956","11,002,396","North America"
"Uruguay","399,966","+271","6,131","","391,664","+175","2,171","12","114,576","1,756","4,119,025","1,179,954","3,490,836","South America"
"Mongolia","382,082","+554","2,005","+2","313,256","","66,821","192","113,945","598","4,030,048","1,201,846","3,353,214","Asia"
"Honduras","377,976","+47","10,409","+6","120,636","+200","246,931","59","37,319","1,028","1,121,382","110,719","10,128,180","North America"
"Libya","373,210","+574","5,466","+10","348,230","+2,244","19,514","","53,286","780","1,912,856","273,112","7,003,936","Africa"
"Ethiopia","371,672","+136","6,771","+16","349,124","+87","15,777","234","3,123","57","3,877,539","32,584","119,000,865","Africa"
"Oceania","370,138","+1,663","4,218","+6","331,280","+2,256","34,640","160","","","","","","Australia/Oceania"
"Moldova","364,433","+659","9,141","+22","347,118","","8,174","206","90,641","2,274","2,210,968","549,905","4,020,637","Europe"
"Egypt","359,516","+938","20,537","+63","298,084","+548","40,895","90","3,422","195","3,693,367","35,151","105,072,780","Africa"
"Armenia","339,020","+502","7,610","+43","317,765","+590","13,645","","114,105","2,561","2,373,959","799,013","2,971,113","Asia"
"Oman","304,572","+18","4,113","","300,011","+6","448","2","57,567","777","25,000,000","4,725,236","5,290,741","Asia"
"Bahrain","277,721","+31","1,394","","275,999","+46","328","2","155,557","781","7,421,582","4,156,981","1,785,330","Asia"
"Bosnia and Herzegovina","275,965","+900","12,628","+42","192,218","","71,119","","84,865","3,883","1,401,319","430,935","3,251,807","Europe"
"Norway","271,623","+3,780","1,093","+7","88,952","","181,578","59","49,553","199","8,615,687","1,571,789","5,481,453","Europe"
"Singapore","266,049","+1,324","726","+8","253,068","+1,535","12,255","61","44,973","123","21,098,774","3,566,575","5,915,696","Asia"
"Kenya","255,164","+76","5,335","","248,350","+32","1,479","20","4,602","96","2,839,918","51,215","55,451,083","Africa"
